list,kind,number,title,page,actual_printed_page,physical_page,anchor,destination_page_matches,heading_or_caption_present,visible_index_row_present
toc,chapter,,Abstract,i,i,2,chapter*.1,True,True,True
toc,chapter,,Acknowledgements,ii,ii,3,chapter*.2,True,True,True
toc,chapter,,Contents,iii,iii,4,section*.3,True,True,True
toc,chapter,,List of Figures,vii,vii,8,section*.5,True,True,True
toc,chapter,,List of Tables,x,x,11,section*.7,True,True,True
toc,chapter,1,Strategic Vision and Project Scope,1,1,13,chapter.1,True,True,True
toc,section,1.1,Project Vision,2,2,14,section.1.1,True,True,True
toc,section,1.2,Problem Statement,2,2,14,section.1.2,True,True,True
toc,section,1.3,Project Motivations,3,3,15,section.1.3,True,True,True
toc,section,1.4,Strategic Objectives,3,3,15,section.1.4,True,True,True
toc,section,1.5,Project Benefits and Broader Impact,4,4,16,section.1.5,True,True,True
toc,section,1.6,Project Scope and Boundaries,5,5,17,section.1.6,True,True,True
toc,subsection,1.6.1,System Boundaries and User Roles,5,5,17,subsection.1.6.1,True,True,True
toc,subsection,1.6.2,Functional Scope,5,5,17,subsection.1.6.2,True,True,True
toc,subsection,1.6.3,Web and Mobile Client Scope,6,6,18,subsection.1.6.3,True,True,True
toc,subsection,1.6.4,Distinctive Features and Extensible Design,6,6,18,subsection.1.6.4,True,True,True
toc,chapter,2,Literature Review and Theoretical Framework,7,7,19,chapter.2,True,True,True
toc,section,2.1,Introduction,8,8,20,section.2.1,True,True,True
toc,section,2.2,Evolution of Digital Education Platforms,8,8,20,section.2.2,True,True,True
toc,subsection,2.2.1,From Traditional Classroom Management to Digital Learning Systems,8,8,20,subsection.2.2.1,True,True,True
toc,subsection,2.2.2,Limitations of Fragmented Learning Management Tools,9,9,21,subsection.2.2.2,True,True,True
toc,section,2.3,Research Gap and Integrated Learning Ecosystems,9,9,21,section.2.3,True,True,True
toc,section,2.4,Artificial Intelligence in Education,10,10,22,section.2.4,True,True,True
toc,subsection,2.4.1,Context-Aware Learning Assistance,10,10,22,subsection.2.4.1,True,True,True
toc,subsection,2.4.2,Material Summarization and Learning Support,10,10,22,subsection.2.4.2,True,True,True
toc,subsection,2.4.3,Assessment and Feedback Support,10,10,22,subsection.2.4.3,True,True,True
toc,section,2.5,Benchmarking: Fragmented Tools vs. Integrated EduVerse Approach,11,11,23,section.2.5,True,True,True
toc,section,2.6,Theoretical and Technical Foundations of EduVerse,12,12,24,section.2.6,True,True,True
toc,subsection,2.6.1,Web-Based Educational Platforms,12,12,24,subsection.2.6.1,True,True,True
toc,subsection,2.6.2,Mobile Companion Learning Applications,13,13,25,subsection.2.6.2,True,True,True
toc,subsection,2.6.3,Real-Time Virtual Classrooms,13,13,25,subsection.2.6.3,True,True,True
toc,subsection,2.6.4,Integrated Coding Environments for Programming Education,13,13,25,subsection.2.6.4,True,True,True
toc,subsection,2.6.5,Extensible Educational Ecosystems and Governed Openness,14,14,26,subsection.2.6.5,True,True,True
toc,subsection,2.6.6,"Security, Roles, and Data Management",14,14,26,subsection.2.6.6,True,True,True
toc,chapter,3,Methodology,15,15,27,chapter.3,True,True,True
toc,section,3.1,Introduction,16,16,28,section.3.1,True,True,True
toc,section,3.2,Methodological Approach,16,16,28,section.3.2,True,True,True
toc,subsection,3.2.1,Iterative Feature-Centered Development,16,16,28,subsection.3.2.1,True,True,True
toc,subsection,3.2.2,Vertical-Slice Realization,17,17,29,subsection.3.2.2,True,True,True
toc,subsection,3.2.3,Why This Methodology Fits EduVerse,17,17,29,subsection.3.2.3,True,True,True
toc,section,3.3,Repeated Development Cycle,18,18,30,section.3.3,True,True,True
toc,section,3.4,Chapter Summary,19,19,31,section.3.4,True,True,True
toc,chapter,4,System Analysis and Requirements,20,20,32,chapter.4,True,True,True
toc,section,4.1,Introduction,21,21,33,section.4.1,True,True,True
toc,section,4.2,System Overview,21,21,33,section.4.2,True,True,True
toc,section,4.3,System Actors,21,21,33,section.4.3,True,True,True
toc,section,4.4,Functional Requirements,22,22,34,section.4.4,True,True,True
toc,section,4.5,Non-Functional Requirements,27,27,39,section.4.5,True,True,True
toc,section,4.6,Use-Case Model,28,28,40,section.4.6,True,True,True
toc,section,4.7,Activity Diagrams,44,44,56,section.4.7,True,True,True
toc,section,4.8,Chapter Summary,59,59,71,section.4.8,True,True,True
toc,chapter,5,System Design,60,60,72,chapter.5,True,True,True
toc,section,5.1,Introduction,61,61,73,section.5.1,True,True,True
toc,section,5.2,Design Context and Architectural Structure,61,61,73,section.5.2,True,True,True
toc,section,5.3,Information Model and Persistence Design,61,61,73,section.5.3,True,True,True
toc,subsection,5.3.1,Logical Database Design,62,62,74,subsection.5.3.1,True,True,True
toc,subsection,5.3.2,Relational Structure Through the ERD,62,62,74,subsection.5.3.2,True,True,True
toc,subsection,5.3.3,Principal Schema Groups,65,65,77,subsection.5.3.3,True,True,True
toc,subsection,5.3.4,Physical Schema Tables,66,66,78,subsection.5.3.4,True,True,True
toc,section,5.4,Interface and Interaction Design,82,82,94,section.5.4,True,True,True
toc,subsection,5.4.1,Access and Identity Interfaces,82,82,94,subsection.5.4.1,True,True,True
toc,subsection,5.4.2,Administrative Governance Interfaces,86,86,98,subsection.5.4.2,True,True,True
toc,subsection,5.4.3,Classroom and Learning Interfaces,94,94,106,subsection.5.4.3,True,True,True
toc,subsection,5.4.4,Assessment and Submission Interfaces,98,98,110,subsection.5.4.4,True,True,True
toc,subsection,5.4.5,Synchronous Collaboration Interfaces,105,105,117,subsection.5.4.5,True,True,True
toc,subsection,5.4.6,AI Support and Coding-Lab Interfaces,106,106,118,subsection.5.4.6,True,True,True
toc,chapter,6,Software and Engineering Implementation,108,108,120,chapter.6,True,True,True
toc,section,6.1,Introduction,109,109,121,section.6.1,True,True,True
toc,section,6.2,Implementation Environment,109,109,121,section.6.2,True,True,True
toc,section,6.3,System Architecture,109,109,121,section.6.3,True,True,True
toc,section,6.4,Web Application Implementation,111,111,123,section.6.4,True,True,True
toc,section,6.5,Mobile Companion Application Implementation,111,111,123,section.6.5,True,True,True
